actor,anio_nacimiento,conocido_por,que_hace,premios
Jason Schwartzman,1980,"Academia Rushmore (1998), Viaje a Darjeeling (2007) y Moonrise Kingdom (2012).","Reparto, Música, Producción",13
Johnny Simmons,1986,"Las ventajas de ser un marginado (2012), Scott Pilgrim contra el mundo (2010) y Jennifer's Body (2009).",Reparto,1
Mark Webber,1980,"Flesh and Blood (2017), The End of Love (2012) y Green Room (2015).","Reparto, Dirección, Guion",7
Ellen Wong,1985,N/A,"Reparto, Producción, Guion",1
Jon Foo,1982,"Tekken (2010), Thai Dragon (2005) y Soldado universal: Regeneración (2009).","Reparto, Especialistas",1
Kelly Overton,1978,N/A,"Reparto, Producción, Dirección",3
Cary-Hiroyuki Tagawa,1950,"Mortal Kombat (1995), El planeta de los simios (2001) y Tekken (2010).","Reparto, Producción, Equipos adicionales",1
Ian Anthony Dale,1978,"The Walking Dead (2010), The Resident (2018) y Hawai 5.","Reparto, Dirección",1
Cung Le,1972,"Pandorum (2009), Tekken (2010) y The Grandmaster (2013).","Reparto, Producción, Especialistas",1
Darrin Dewitt Henson,1972,"Tekken (2010), El expreso de Elmira (2008) y Soul Food (2000).","Reparto, Producción, Equipos adicionales",1
Luke Goss,1968,"Hellboy II: El ejército dorado (2008), Blade II (2002) y Tekken (2010).","Reparto, Producción, Dirección",1
Mircea Monroe,1982,N/A,"Reparto, Producción",3
Tamlyn Tomita,1966,N/A,"Reparto, Guion, Producción",4
Candice Hillebrand,1977,N/A,Reparto,0
Liam Neeson,1952,"Kinsey (2004), La lista de Schindler (1993) y Infierno blanco (2011).","Reparto, Producción, Banda sonora",24
Bradley Cooper,1975,"Ha nacido una estrella (2018), El lado bueno de las cosas (2012) y El francotirador (2014).","Reparto, Producción, Dirección",71
Sharlto Copley,1973,"Distrito 9 (2009), Chappie (2015) y Hardcore Henry (2015).","Reparto, Producción, Dirección",1
Jessica Biel,1982,N/A,"Reparto, Producción, Dirección",6
Quinton 'Rampage' Jackson,1978,"El equipo A (2010), El vagón de la muerte (2008) y Muere otra vez (2020).","Reparto, Producción",6
Patrick Wilson,1973,"El fantasma de la ópera de Andrew Lloyd Webber (2004), Hard Candy (2005) y Insidious (2010).","Reparto, Producción, Dirección",3
Gerald McRaney,1947,"Focus (2015), El equipo A (2010) y Simon & Simon (1981).","Reparto, Producción, Dirección",3
Henry Czerny,1959,"Mission: Impossible (1996), Peligro inminente (1994) y La pantera rosa (2006).",Reparto,4
Yul Vazquez,N/A,"Separación (2022), El visitante (2020) y Muñeca rusa (2019).","Reparto, Producción, Equipos adicionales",0
Brian Bloom,1970,"El equipo A (2010), Call of Duty: Modern Warfare (2019) y Wolfenstein II: The New Colossus (2017).","Reparto, Guion, Producción",2
Thiago Lacerda,N/A,N/A,Reparto,1
Ângela Vieira,N/A,N/A,Reparto,2
Milton Gonçalves,1933,"Carandiru (2003), A Rainha Diaba (1974) y À Sombra dos Laranjais (1977).","Reparto, Dirección",5
Marcio Rosario,1971,"Bergamota (2023), Síntonia (2019) y I Love Paraisópolis (2015).","Reparto, Producción, Guion",12
Gracindo Júnior,1943,"Paulo Gracindo - O Bem Amado (2009), Bonitinha, Mas Ordinária (2013) y A Queda (2020).","Reparto, Dirección, Guion",1
Ailton Graça,1964,"Carandiru (2003), América (2005) y Mussum: O Filmis (2023).","Reparto, Producción, Banda sonora",10
Sheila Mello,N/A,N/A,Reparto,0
Viviane Victorette,N/A,N/A,Reparto,0
Gilberto Torres,N/A,N/A,Reparto,0
Sônia Lima,N/A,N/A,Reparto,0
Jeff Osterhage,1953,"El coche fantástico (1982), Las redes de la justicia (1989) y Baldur's Gate II: Throne of Bhaal (2001).",Reparto,0
Mark Gantt,N/A,N/A,"Dirección, Guion, Producción",4
Branscombe Richmond,1955,"The Scorpion King (El rey escorpión) (2002), Difícil de matar (1990) y Mortal Kombat (1995).","Reparto, Especialistas, Producción",1
Ed Lauter,1938,"No es otra estúpida película americana (2001), Cujo (1983) y King Kong (1976).",Reparto,1
Frank Stallone,1950,"Rambo: Acorralado - Parte II (1985), El gran Halcón (1991) y Staying Alive (1983).","Reparto, Música, Producción",4
James Lew,1952,"Luke Cage (2016), Golpe en la pequeña China (1986) y 18 Fingers of Death! (2006).","Especialistas, Reparto, Dirección de la segunda unidad o asistencia a dirección",4
Corbin Timbrook,1958,"Stepmom from Hell (2024), A Christmas Vintage (2023) y Disparatada patrulla de esquí (1990).","Reparto, Producción, Dirección",14
John Brotherton,1980,"Madres forzosas (2016), Fast & Furious 7 (2015) y Expediente Warren: The Conjuring (2013).","Reparto, Producción, Sonido",14
Johnny Nisbet,N/A,N/A,"Producción, Reparto",14
Monique Yates Jr.,1969,N/A,"Reparto, Especialistas, Equipos adicionales",14
Anthony Moscato,N/A,"su papel en Guns, Drugs and Dirty Money (2010), Setup (2011) y Blood Games (2003).","Reparto, Producción",0
Alex Safi,N/A,"su papel en Guns, Drugs and Dirty Money (2010), Timequest (2000) y Setup (2011).","Reparto, Producción",0
Jason Waugh,N/A,N/A,"Reparto, Dirección de fotografía y cámara, Diseño de producción",0
James Hyde,1962,"Monarca (2019), Passions (1999) y The Genius of Gianni Versace.","Reparto, Producción, Guion",0
