actor,anio_nacimiento,conocido_por,que_hace,premios
Nate Parker,1979,"El nacimiento de una nación (2016), El fraude (2012) y Non-Stop (Sin escalas) (2014).","Reparto, Producción, Guion",10
Tristan Mack Wilds,1989,"La vida secreta de las abejas (2008), Half Nelson (2006) y Escuadrón Rojo (2012).","Reparto, Producción, Dirección",1
Ne-Yo,1982,"Invasión a la Tierra (2011), Escuadrón Rojo (2012) y Tiana y el sapo (2009).","Music Artist, Reparto, Composición",9
Elijah Kelley,1986,"Hairspray (2007), Marianne y la pócima del amor (Strange Magic) (2015) y El mayordomo (2013).","Reparto, Producción, Equipos adicionales",3
Marcus T. Paulk,1986,"Déjate llevar (2006), Moesha (1996) y Nada que perder (1997).","Reparto, Producción, Decoración",0
Tom Cruise,1962,"Top Gun: Ídolos del aire (1986), El último samurái (2003) y Jerry Maguire (1996).","Reparto, Producción, Dirección",64
Rosamund Pike,1979,N/A,"Reparto, Producción, Banda sonora",36
Richard Jenkins,1947,"La forma del agua (2017), The visitor (2007) y Hermanos por pelotas (2008).","Reparto, Producción, Banda sonora",16
Werner Herzog,1942,"Fitzcarraldo (1982), Aguirre, la cólera de Dios (1972) y Jack Reacher (2012).","Dirección, Guion, Producción",64
David Oyelowo,1976,"Hombres de ley: Bass Reeves (2023), El después (2023) y Selma (2014).","Reparto, Producción, Dirección",19
Jai Courtney,1986,"Terminator: Génesis (2015), Divergente (2014) y Escuadrón suicida (2016).",Reparto,1
Vladimir Sizov,N/A,"su papel en Jack Reacher (2012), Agua para elefantes (2011) y Legión (2017).",Reparto,0
Joseph Sikora,1976,"Jack Reacher (2012), Ghost World (2001) y La guerra de Charlie Wilson (2007).","Reparto, Guion, Dirección",1
Michael Raymond-James,N/A,"Jack Reacher (2012), True Blood (2008) y Terriers (2010).","Reparto, Dirección, Producción",4
Alexia Fast,N/A,N/A,"Reparto, Cámara y electricidad, Banda sonora",2
Wesley Snipes,1962,"Blade (1998), New Jack City (1991) y Demolition Man (1993).","Reparto, Producción, Especialistas",11
Kevin Howarth,N/A,"su papel en El reino perdido de los piratas (2021), Fiddler's Green (2023) y Cazador de demonios (Gallowwalkers) (2012).","Reparto, Equipos adicionales",5
Riley Smith,1978,"Arac Attack (2002), No es otra estúpida película americana (2001) y Me llaman Radio (2003).","Reparto, Guion, Producción",1
Tanit Phoenix,1980,N/A,"Reparto, Maquillaje",1
Simona Roman,1984,N/A,"Reparto, Producción",1
Steven Elder,N/A,"su papel en El rey del invierno (2023), The King (2019) y Apple Tree Yard (2017).","Reparto, Guion, Producción",1
Patrick Bergin,1951,"Durmiendo con su enemigo (1991), Juego de patriotas (1992) y Robin Hood: El magnífico (1991).","Reparto, Producción, Banda sonora",1
Jay Grant,N/A,"su papel en Kill Devil Hills (2024), Lake Jesup y To Kill a Wolf (2024).","Reparto, Producción",1
Hector Hugo,N/A,N/A,"Reparto, Producción, Edición",1
David De Beer,N/A,"su papel en The Mould & the Maker (2016), Cazador de demonios (Gallowwalkers) (2012) y Black Sails (2014).","Reparto, Composición",1
Robert Downey Jr.,1965,"Iron Man (2008), Sherlock Holmes (2009) y Iron Man 3 (2013).","Reparto, Producción, Guion",79
Chris Evans,1981,"Los Vengadores (2012), Capitán América: El primer vengador (2011) y Capitán América: Civil War (2016).","Reparto, Producción, Dirección",8
Scarlett Johansson,1984,N/A,"Reparto, Producción, Dirección",71
Jeremy Renner,1971,"En tierra hostil (2008), The Town: Ciudad de ladrones (2010) y Wind River (2017).","Reparto, Producción, Sonido",35
Mark Ruffalo,1967,"Spotlight (2015), Los chicos están bien (2010) y Los Vengadores (2012).","Reparto, Producción, Guion",42
Chris Hemsworth,1983,"Blancanieves y la leyenda del cazador (2012), Thor: Ragnarok (2017) y Los Vengadores (2012).","Reparto, Producción, Banda sonora",17
Tom Hiddleston,1981,"Los Vengadores (2012), Thor (2011) y Thor: El mundo oscuro (2013).","Reparto, Producción, Banda sonora",11
Clark Gregg,1962,"Los Vengadores (2012), Agentes de S.","Reparto, Dirección, Guion",5
Cobie Smulders,1982,N/A,"Reparto, Producción, Banda sonora",0
Stellan Skarsgård,N/A,"El indomable Will Hunting (1997), Nymphomaniac (volumen 1) (2013) y Amistad (1997).","Reparto, Producción, Guion",19
Ray Winstone,1957,"Infiltrados (2006), Beowulf (2007) y Sexy Beast (2000).","Reparto, Producción, Banda sonora",12
Plan B,1983,"Harry Brown (2009), La ciudad de la violencia (2012) y The Sweeney (2012).","Music Artist, Reparto, Guion",6
Hayley Atwell,1982,N/A,"Reparto, Banda sonora",0
Steven Mackintosh,1967,"Lock & Stock (1998), Rang De Basanti (2006) y Memphis Belle (1990).","Reparto, Banda sonora",4
Paul Anderson,1978,"Sherlock Holmes: Juego de sombras (2011), The Firm (2009) y '71 (2014).",Reparto,4
Alan Ford,1938,Snatch.,"Reparto, Producción",4
Damian Lewis,1971,"Hermanos de sangre (2001), Érase una vez en.","Reparto, Producción, Banda sonora",6
Caroline Chikezie,N/A,N/A,"Reparto, Producción",4
Allen Leech,1981,"The Imitation Game (Descifrando Enigma) (2014), Bohemian Rhapsody (2018) y Downton Abbey (2010).","Reparto, Producción",4
Ronnie Fox,N/A,"su papel en Lock & Stock (1998), The Sweeney (2012) y Family Business (2004).",Reparto,4
Megumi Ogata,1965,N/A,"Reparto, Música, Banda sonora",0
Megumi Hayashibara,1967,N/A,"Reparto, Música, Banda sonora",0
Yûko Miyamura,1972,N/A,"Reparto, Música, Equipos adicionales",0
Maaya Sakamoto,1980,N/A,"Reparto, Música, Equipos adicionales",2
Kotono Mitsuishi,1967,N/A,"Reparto, Música, Banda sonora",0
