actor,anio_nacimiento,conocido_por,que_hace,premios
Hilary Duff,1987,N/A,"Reparto, Música, Producción",25
Haylie Duff,1985,N/A,"Reparto, Producción, Dirección",2
Charlie Sheen,1965,"Dos hombres y medio (2003), Los tres mosqueteros de Alejandro Dumas (1993) y Hot Shots! 2 (1993).","Reparto, Producción, Guion",6
Eva Longoria,1975,N/A,"Reparto, Producción, Dirección",18
Wayne Brady,1972,"Whose Line Is It Anyway? (1998), Foodfight! (2012) y La princesa Sofía (2012).","Producción, Reparto, Guion",5
Christopher Lloyd,1938,"Regreso al futuro (1985), La familia Addams (1991) y ¿Quién engañó a Roger Rabbit? (1988).","Reparto, Producción, Banda sonora",13
Chris Kattan,1970,"Movida en el Roxbury (1998), House on Haunted Hill (1999) y Undercover brother (El hermano secreto) (2002).","Reparto, Guion, Producción",1
Larry Miller,1953,"10 razones para odiarte (1999), Pretty Woman (1990) y Un poderoso viento (2003).","Reparto, Guion, Producción",2
Edward Asner,1929,"Up (2009), La chica de la tele (1970) y Elf (2003).","Reparto, Producción, Equipos adicionales",43
Jerry Stiller,1927,"Matrimonio compulsivo (2007), Seinfeld (1989) y Hairspray (2007).","Reparto, Producción, Guion",4
Darren Geare,N/A,N/A,"Reparto, Guion, Producción",0
R.J. Knoll,N/A,"su papel en Orange County (Colgado, pringado y sin carrera) (2002), Marea roja (1995) y La doctora Quinn (1993).",Reparto,0
Christopher Walken,1943,"El cazador (1978), Atrápame si puedes (2002) y Ángeles y demonios (1995).","Reparto, Producción, Equipos adicionales",27
Robert Wagner,1930,"El coloso en llamas (1974), Austin Powers en Miembro de Oro (2002) y Austin Powers: Misterioso agente internacional (1997).","Reparto, Producción, Banda sonora",4
Morgan Fairchild,1950,N/A,"Reparto, Producción, Equipos adicionales",0
Rutger Hauer,1944,"Hobo with a Shotgun (2011), Blade Runner (1982) y Carretera al infierno (1986).","Reparto, Producción, Dirección",14
Christine Lakin,1979,N/A,"Dirección, Reparto, Choreographer",8
Beatrice Rosen,1977,N/A,Reparto,8
Robert Amstler,1970,"Alien Showdown: The Day the Old West Stood Still (2013), Terminator 3: La rebelión de las máquinas (2003) y The Snow Queen (2013).","Reparto, Producción, Especialistas",8
Saran Barnun,N/A,N/A,"Guion, Producción, Dirección",0
Sean Hayes,1970,"Will & Grace (1998), The Cat in the Hat (2003) y Ahora o nunca (2007).","Reparto, Producción, Guion",17
Chris Diamantopoulos,1975,"Remando como un solo hombre (2023), Mrs.","Reparto, Guion, Banda sonora",0
Will Sasso,1975,"Los tres chiflados (2012), Terminagolf (1996) y Muérete, bonita (1999).","Reparto, Guion, Producción",2
Jane Lynch,1960,N/A,"Reparto, Producción, Banda sonora",30
Sofía Vergara,1972,N/A,"Reparto, Producción, Banda sonora",12
Jennifer Hudson,1981,N/A,"Music Artist, Producción, Reparto",52
Craig Bierko,1964,"Nivel 13 (1999), Memoria letal (1996) y Scary Movie 4 (2006).","Reparto, Guion, Banda sonora",0
Stephen Collins,1947,"Siete en el paraíso (1996), Star Trek: La película (1979) y El club de las primeras esposas (1996).","Reparto, Dirección, Banda sonora",2
Larry David,N/A,N/A,"Serie de TV, 2000–2024, 18, 30min",22
Kirby Heyborne,1977,"Los tres chiflados (2012), Santos y soldados (2003) y Pirates of the Great Salt Lake (2006).","Reparto, Producción, Dirección",1
Colin Firth,1960,"Un hombre soltero (2009), El discurso del rey (2010) y Kingsman: Servicio secreto (2014).","Reparto, Producción, Guion",71
Cameron Diaz,1972,N/A,"Reparto, Producción, Banda sonora",29
Alan Rickman,1946,"Jungla de cristal (1988), Robin Hood: Príncipe de los ladrones (1991) y Sweeney Todd: El barbero diabólico de la calle Fleet (2007).","Reparto, Guion, Dirección",19
Stanley Tucci,1960,"Big Night (1996), Spotlight (2015) y The Lovely Bones (2009).","Reparto, Producción, Guion",33
Tom Courtenay,1937,"45 años (2015), Doctor Zhivago (1965) y La soledad del corredor de fondo (1962).","Reparto, Banda sonora",14
Brodie Ross,N/A,"su papel en Un plan perfecto (Gambit) (2012), Shakespeare's Globe: The Comedy of Errors (2015) y Lewis (2006).",Reparto,14
Alex Macqueen,1974,"Peaky Blinders (2013), Black Mirror (2011) y Cenicienta (2015).",Reparto,0
Joe Berryman,N/A,"su papel en Better Call Saul (2015), Graves (2016) y Dos a una (1991).","Reparto, Banda sonora",0
Ralph Alderman,1948,"Héroes en el infierno (2017), Los reyes del crimen (2001) y Un plan perfecto (Gambit) (2012).","Reparto, Localización",0
Mike Noble,N/A,"su papel en Damas de guerra (2015), Help (2021) y El asedio de Jadotville (2016).",Reparto,2
Marcelo Adnet,1981,"Tá no Ar: A TV na TV (2014), Comédia MTV (2010) y Sinta-se em Casa (2020).","Reparto, Guion, Producción",4
Eduardo Sterblitch,N/A,"su papel en Chacrinha: O Velho Guerreiro (2018), Grande Sertão (2023) y O Homem Perfeito (2018).","Reparto, Guion y continuidad",0
Mariana Ximenes,1981,N/A,"Reparto, Producción, Banda sonora",8
Stepan Nercessian,1953,"Amante Muito Louca (1973), Chacrinha: O Velho Guerreiro (2018) y Sob Pressão (2016).","Reparto, Dirección",3
Elena Sopova,N/A,N/A,Reparto,3
Susana Vieira,1942,N/A,"Reparto, Banda sonora",4
Luis Gustavo,1934,"O Casamento de Romeu e Julieta (2005), Elas por Elas (1982) y Beto Rockfeller (1968).","Reparto, Banda sonora",3
Luís Carlos Miele,1938,"Dick e Betty 17 (1965), O Capitão Bandeira Contra o Dr.","Reparto, Dirección",0
Andrea Beltrão,1964,N/A,"Reparto, Guion, Banda sonora",12
Xando Graça,N/A,N/A,Reparto,12
Shane Patrick,N/A,"su papel en The Blacklist (2013), Chicago Med (2015) y Ley y orden: Unidad de Víctimas Especiales (1999).","Reparto, Guion, Dirección",1
Samantha Raddock,N/A,N/A,Reparto,1
Chris Grabher,1980,"Tenet (2020), Alicia en el País de las Maravillas (2010) y Los elegidos (Dark skies) (2013).","Reparto, Especialistas, Equipos adicionales",1
Wendy Charles,N/A,N/A,"Dirección de la segunda unidad o asistencia a dirección, Equipos adicionales, Dirección",2
Mel England,N/A,"su papel en No Goodbyes (2021), Ron and Laura Take Back America (2014) y Little Big Top (2006).","Reparto, Producción, Guion",11
