actor,anio_nacimiento,conocido_por,que_hace,premios
Jerry O'Connell,1974,"Cuenta conmigo (1986), Salto al infinito (1995) y Canguro Jack, trinca y brinca (2003).","Reparto, Producción, Dirección",1
Richard Dreyfuss,1947,"La chica del adiós (1977), Encuentros en la tercera fase (1977) y Tiburón (1975).","Reparto, Producción, Guion",19
Ving Rhames,1959,"Pulp Fiction (1994), Al límite (Bringing Out the Dead) (1999) y Misión: Imposible 2 (2000).","Reparto, Producción, Guion",7
Christopher Lloyd,1938,"Regreso al futuro (1985), La familia Addams (1991) y ¿Quién engañó a Roger Rabbit? (1988).","Reparto, Producción, Banda sonora",13
Eli Roth,N/A,N/A,"Dirección, Guion, Reparto",18
Steven R. McQueen,1988,"Piraña 3D (2010), Crónicas vampíricas (2009) y Club Soda (2006).",Reparto,1
Jessica Szohr,1985,N/A,Reparto,0
Kelly Brook,1979,N/A,"Reparto, Producción",1
Riley Steele,N/A,N/A,Sonido,2
Jake Gyllenhaal,1980,"Nightcrawler (2014), Brokeback Mountain.","Reparto, Producción, Cámara y electricidad",36
Gemma Arterton,1986,N/A,"Reparto, Producción, Banda sonora",2
Ben Kingsley,1943,"Gandhi (1982), Sexy Beast (2000) y La lista de Schindler (1993).","Reparto, Producción, Equipos adicionales",49
Alfred Molina,1953,"Spider-Man 2 (2004), Frida (2002) y Boogie Nights (1997).","Reparto, Producción, Dirección",13
Steve Toussaint,1965,"La casa del dragón (2022), Prince of Persia: Las arenas del tiempo (2010) y Before We Die (2021).","Reparto, Guion",0
Toby Kebbell,1982,"El amanecer del planeta de los simios (2014), RocknRolla (2008) y Cuatro Fantásticos (2015).",Reparto,2
Richard Coyle,1972,"Prince of Persia: Las arenas del tiempo (2010), Coupling (2000) y Grabbers (2012).","Reparto, Banda sonora",2
Ronald Pickup,1940,"El exótico Hotel Marigold (2011), Prince of Persia: Las arenas del tiempo (2010) y El instante más oscuro (2017).","Reparto, Banda sonora",1
Reece Ritchie,1986,"The Lovely Bones (2009), Hércules (2014) y Prince of Persia: Las arenas del tiempo (2010).",Reparto,1
Gísli Örn Garðarsson,1973,"Medidas extremas (2016), Prince of Persia: Las arenas del tiempo (2010) y Beowulf: el regreso (2016).","Reparto, Guion, Producción",7
Sergi Soler,N/A,N/A,Composición,7
Sara Da Pin Up,N/A,N/A,Reparto,0
Pilar Morales,N/A,N/A,Reparto,0
Jean-Pierre Sèvegrand,N/A,N/A,Reparto,0
Neus Jané,N/A,N/A,Reparto,0
Alba Rispau,N/A,N/A,Reparto,0
Cristina Zapata,N/A,N/A,Reparto,0
Marisa Zapata,N/A,N/A,Reparto,0
Cecilia Gessa,1977,N/A,"Dirección, Producción, Guion",0
Nuria Aparicio,N/A,N/A,"Reparto, Producción, Equipos adicionales",0
Joey King,N/A,N/A,"Reparto, Producción, Banda sonora",6
Selena Gomez,1992,N/A,"Music Artist, Reparto, Música",123
Bridget Moynahan,1971,N/A,"Reparto, Dirección, Producción",2
John Corbett,1961,"Mi gran boda griega (2002), Doctor en Alaska (1990) y Serendipity (2001).","Reparto, Producción, Equipos adicionales",2
Ginnifer Goodwin,1978,N/A,"Reparto, Producción, Banda sonora",3
Josh Duhamel,1972,"Transformers (2007), Safe Haven (2013) y Turistas (2006).","Reparto, Producción, Guion",4
Jason Spevack,1997,"Sunshine Cleaning (2008), Hollywoodland (2006) y Jesus Henry Christ (2011).","Reparto, Producción, Guion",1
Sierra McCormick,1997,N/A,"Reparto, Producción",2
Sandra Oh,1971,N/A,"Reparto, Producción, Guion",30
Kate Zenna,N/A,N/A,"Reparto, Guion, Composición",0
Josie Davis,N/A,N/A,"Reparto, Producción, Guion",3
Marshall Sylver,N/A,N/A,"Reparto, Guion, Producción",3
Meshach Taylor,1947,"Chicas con clase (1986), Maniquí (1987) y La maldición de Damien (1978).","Reparto, Banda sonora",4
Maria Conchita Alonso,1957,N/A,"Reparto, Producción, Composición",7
Douglas Fisher,1934,"Austin Powers: La espía que me achuchó (1999), Crueldad intolerable (2003) y Me parece que .","Reparto, Diseño de producción, Banda sonora",0
Kelli Kirkland,N/A,N/A,"Reparto, Producción, Casting",0
Slade Pearce,1995,"Míos, tuyos y nuestros (2005), October Road (2007) y Miss Marzo (2009).",Reparto,1
Katheryn Winnick,1977,N/A,"Reparto, Producción, Dirección",3
Kip Martin,N/A,"su papel en Cuestión de pelotas (2007), Pray for Morning (2006) y Caso abierto (2003).",Reparto,3
Danielle Demski,N/A,N/A,Reparto,0
Zoe Axelrod,N/A,N/A,Reparto,0
Shelley Berman,1925,"Zohan: Licencia para peinar (2008), Los padres de él (2004) y Larry David (Curb Your Enthusiasm) (2000).","Reparto, Guion, Producción",1
Michael Chiklis,1963,"The Shield: Al margen de la ley (2002), Los 4 Fantásticos (2005) y Los 4 Fantásticos y Silver Surfer (2007).","Reparto, Producción, Dirección",4
David Cross,1964,"Arrested Development (2003), ¡Olvídate de mí! (2004) y Megamind (2010).","Reparto, Guion, Producción",9
Debi Derryberry,1960,N/A,"Reparto, Equipos adicionales, Música",1
Graham Greene,1952,"La milla verde (1999), Wind River (2017) y Bailando con lobos (1990).","Reparto, Guion, Equipos adicionales",20
Kim Mai Guest,1969,N/A,"Reparto, Equipos adicionales, Efectos visuales",0
Cheryl Hines,1965,N/A,"Reparto, Producción, Dirección",4
Billy Jones,1941,"La hija de Ryan (1970), El presidente (1968) y El espejo de los espías (1970).",Reparto,2
Gael MacGregor,N/A,N/A,"Música, Reparto, Producción",2
Danny Trejo,1944,"Machete (2010), Abierto hasta el amanecer (1996) y Predators (2010).","Reparto, Producción, Equipos adicionales",18
B-Real,1970,"Buscando a Eva (1999), Training Day (Día de entrenamiento) (2001) y Bulworth (1998).","Reparto, Composición, Guion",18
Elika Crespo,1976,N/A,Reparto,18
Joey Medina,N/A,"su papel en The Original Latin Kings of Comedy (2002), Circumsized Cinema (2005) y Latin Palooza (2006).","Dirección, Producción, Guion",92
Carla Sanchez,N/A,N/A,"Reparto, Producción",0
Dyana Ortelli,N/A,N/A,Reparto,0
Richmond Arquette,1963,"Zodiac (2007), El curioso caso de Benjamin Button (2008) y Broken Blood (2013).","Reparto, Guion",0
Alex A. Quinn,1976,"Jackie Brown (1997), The Trip (2007) y Lake Dead (2007).","Reparto, Equipos adicionales, Dirección",0
Sara Downing,1979,N/A,"Reparto, Edición",0
Christopher Ramirez,N/A,N/A,"Localización, Producción, Guion",0
Claude Legault,1963,"Minuit, le soir (2005), 19-2 (2011) y Dans une galaxie près de chez vous - Le film (2004).","Reparto, Guion, Banda sonora",6
Rémy Girard,1950,"Las invasiones bárbaras (2003), Incendios (2010) y Jesús de Montreal (1989).","Reparto, Banda sonora",7
Martin Dubreuil,1972,"Les 7 jours du talion (2010), Vieux Jeu (2017) y À tous ceux qui ne me lisent pas (2018).","Reparto, Música, Sonido",4
Fanny Mallette,1975,N/A,"Reparto, Dirección, Guion",2
