actor,anio_nacimiento,conocido_por,que_hace,premios
Jeff Osterhage,1953,"El coche fantástico (1982), Las redes de la justicia (1989) y Baldur's Gate II: Throne of Bhaal (2001).",Reparto,0
Mark Gantt,N/A,N/A,"Dirección, Guion, Producción",4
Branscombe Richmond,1955,"The Scorpion King (El rey escorpión) (2002), Difícil de matar (1990) y Mortal Kombat (1995).","Reparto, Especialistas, Producción",1
Ed Lauter,1938,"No es otra estúpida película americana (2001), Cujo (1983) y King Kong (1976).",Reparto,1
Frank Stallone,1950,"Rambo: Acorralado - Parte II (1985), El gran Halcón (1991) y Staying Alive (1983).","Reparto, Música, Producción",4
James Lew,1952,"Luke Cage (2016), Golpe en la pequeña China (1986) y 18 Fingers of Death! (2006).","Especialistas, Reparto, Dirección de la segunda unidad o asistencia a dirección",4
Corbin Timbrook,1958,"Stepmom from Hell (2024), A Christmas Vintage (2023) y Disparatada patrulla de esquí (1990).","Reparto, Producción, Dirección",14
John Brotherton,1980,"Madres forzosas (2016), Fast & Furious 7 (2015) y Expediente Warren: The Conjuring (2013).","Reparto, Producción, Sonido",14
Johnny Nisbet,N/A,N/A,"Producción, Reparto",14
Monique Yates Jr.,1969,N/A,"Reparto, Especialistas, Equipos adicionales",14
Anthony Moscato,N/A,"su papel en Guns, Drugs and Dirty Money (2010), Setup (2011) y Blood Games (2003).","Reparto, Producción",0
Alex Safi,N/A,"su papel en Guns, Drugs and Dirty Money (2010), Timequest (2000) y Setup (2011).","Reparto, Producción",0
Jason Waugh,N/A,N/A,"Reparto, Dirección de fotografía y cámara, Diseño de producción",0
James Hyde,1962,"Monarca (2019), Passions (1999) y The Genius of Gianni Versace.","Reparto, Producción, Guion",0
Richard Goteri,N/A,"Yaniv, Jurassic Homecoming - The Motion Comic y Amanda and the Fox (2018).","Reparto, Producción, Guion",2
Sarah Sid,N/A,N/A,"Reparto, Guion, Vestuario",0
Buzz Jones,N/A,N/A,Equipos adicionales,0
Michael Mili,1957,"Killerman (2019), Amanda and the Fox (2018) y Cash Only (2015).","Reparto, Producción, Guion",0
Virginia Bryant,N/A,N/A,Reparto,0
Anastasia Maria Mili,2000,N/A,Reparto,0
Manoj Bajpayee,1969,"Gangs of Wasseypur (2012), Satya (1998) y Aks (2001).","Reparto, Producción, Música",58
Shriya Saran,1982,N/A,Reparto,4
Pawan Kalyan,1971,"Attarintiki Daredi (2013), Gabbar Singh (2012) y Jalsa (2008).","Reparto, Especialistas, Música",4
Saranya Ponvannan,1970,N/A,"Reparto, Música, Banda sonora",12
Nassar,1958,"Baahubali 2, la conclusión (2017), Baahubali: The Beginning (2015) y Caza a la espía (2010).","Reparto, Dirección, Guion",3
Girish Karnad,1938,"Ondanondu Kaladalli (1978), Tiger: Agente Especial (2012) y Godhuli (1977).","Reparto, Guion, Dirección",4
Mohammad Ali,1968,"Liger (2022), Super (2005) y Oka Laila Kosam (2014).",Reparto,2
Cochin Hanifa,1951,"Enthiran (2010), Paasa Paravaigal (1988) y Moonnu Masangalkku Munpu (1986).","Reparto, Guion, Dirección",1
Kovai Sarala,1962,N/A,"Reparto, Música, Banda sonora",4
Nikesha Patel,1990,N/A,Reparto,4
Luis Machín,1968,"Padre Coraje (2004), Necrofobia (2014) y El hombre que volvió de la muerte (2007).","Reparto, Dirección de fotografía y cámara, Equipos adicionales",1
Esther Goris,1963,N/A,"Reparto, Guion, Dirección",1
Carlos Belloso,1963,"Campeones de la vida (1999), Tumberos (2002) y La odisea de los giles (2019).","Reparto, Banda sonora",6
Florencia Peña,1974,N/A,"Reparto, Guion, Producción",4
Enrique Piñeyro,N/A,N/A,"Reparto, Producción, Dirección",8
Alfonso Pícaro,1928,"Pimienta (1966), La venganza (1999) y ¡Qué noche de casamiento! (1969).",Reparto,0
Vilma Ferrán,N/A,N/A,Reparto,0
Héctor Díaz,N/A,"su papel en Argentina, 1985 (2022), Glue (2006) y La flor (2018).","Reparto, Dirección",0
Eduardo Wigutow,N/A,N/A,Reparto,0
Mey Scápola,N/A,N/A,"Reparto, Guion",1
Elisabeth Shue,1963,N/A,"Reparto, Producción, Banda sonora",8
Jerry O'Connell,1974,"Cuenta conmigo (1986), Salto al infinito (1995) y Canguro Jack, trinca y brinca (2003).","Reparto, Producción, Dirección",1
Richard Dreyfuss,1947,"La chica del adiós (1977), Encuentros en la tercera fase (1977) y Tiburón (1975).","Reparto, Producción, Guion",19
Ving Rhames,1959,"Pulp Fiction (1994), Al límite (Bringing Out the Dead) (1999) y Misión: Imposible 2 (2000).","Reparto, Producción, Guion",7
Christopher Lloyd,1938,"Regreso al futuro (1985), La familia Addams (1991) y ¿Quién engañó a Roger Rabbit? (1988).","Reparto, Producción, Banda sonora",13
Eli Roth,N/A,N/A,"Dirección, Guion, Reparto",18
Steven R. McQueen,1988,"Piraña 3D (2010), Crónicas vampíricas (2009) y Club Soda (2006).",Reparto,1
Jessica Szohr,1985,N/A,Reparto,0
