actor,anio_nacimiento,conocido_por,que_hace,premios
Joaquín Cosio,1962,"Quantum of Solace (2008), El Narco (2010) y Salvajes (2012).",Reparto,4
Gerardo Taracena,1970,"Apocalypto (2006), Sin nombre (2009) y Vacaciones en el infierno (2012).","Reparto, Producción",3
Rodrigo Oviedo,N/A,N/A,"Reparto, Dirección, Guion",3
Marius Biegai,1968,"Queen of the South (2016), Single Parents (2018) y Los Héroes del Norte (2010).","Reparto, Producción, Guion",1
Jaime Camil,1973,"La fea más bella (Serie de TV) (2006), Jane the Virgin (2014) y Zapata - El sueño del héroe (2004).","Reparto, Producción, Banda sonora",5
Adal Ramones,1961,"¿Y ahora qué hago? (2007), Otro rollo con: Adal Ramones (1995) y Stand Parados (2013).","Reparto, Producción, Guion",7
Isela Vega,1939,N/A,"Reparto, Guion, Producción",7
Juan Carlos Flores,N/A,"Tales of the Walking Dead (2022), High School Musical: El Desafío (2008) y La 4ª Compañía (2016).","Reparto, Transporte, Efectos visuales",7
Clody Cates,N/A,N/A,"Reparto, Maquillaje, Dirección",7
Fiona Cheung,1978,N/A,"Reparto, Equipos adicionales",0
Laura Jane Coles,N/A,N/A,Reparto,0
Simone Cross,N/A,N/A,Reparto,0
Jeffery Davis,N/A,su papel en Cycle of Fear: There Is No End (2008).,Reparto,0
Miriam Dorsett,N/A,N/A,Reparto,0
Owen Drake,1986,"Messina High (2015), Transformers: La venganza de los caídos (2009) y Poor Boy (2016).","Reparto, Producción, Dirección",0
Owen Edson,N/A,N/A,Reparto,0
Matthew W. Eierman,N/A,N/A,Reparto,0
Skip Emerson,N/A,N/A,Reparto,0
Daniel Craig,1968,"Sin tiempo para morir (2021), Casino Royale (2006) y Skyfall (2012).","Reparto, Producción, Banda sonora",18
Harrison Ford,1942,"En busca del arca perdida (1981), El fugitivo (1993) y La guerra de las galaxias (1977).","Reparto, Guion, Producción",48
Olivia Wilde,1984,N/A,"Reparto, Producción, Dirección",30
Abigail Spencer,N/A,N/A,"Reparto, Producción, Guion",2
Buck Taylor,1938,"Cowboys & Aliens (2011), Gettysburg (1993) y Comanchería (2016).","Reparto, Arte, Equipos adicionales",3
Matthew Taylor,1970,"La última fortaleza (2001), Cowboys & Aliens (2011) y Deep Blue Sea (1999).","Especialistas, Reparto, Dirección de la segunda unidad o asistencia a dirección",2
Cooper Taylor,N/A,N/A,Reparto,1
Clancy Brown,1959,"Cadena perpetua (1994), Starship Troopers (Las brigadas del espacio) (1997) y Thor: Ragnarok (2017).","Reparto, Producción, Banda sonora",5
Paul Dano,1984,"Pequeña Miss Sunshine (2006), Pozos de ambición (2007) y 12 años de esclavitud (2013).","Reparto, Producción, Dirección",26
Chris Browning,1964,"Bright (2017), Ray Donovan (2013) y Westworld (2016).","Reparto, Producción, Dirección",26
Hugh Jackman,1968,"Los miserables (2012), Logan (2017) y X-Men (2000).","Reparto, Producción, Equipo ejecutivo",35
Evangeline Lilly,1979,N/A,"Reparto, Banda sonora",7
Dakota Goyo,1999,"Acero puro (2011), Los elegidos (Dark skies) (2013) y El origen de los guardianes (2012).","Reparto, Especialistas, Producción",1
Anthony Mackie,1978,"En tierra hostil (2008), Destino oculto (2011) y Capitán América: El Soldado de Invierno (2014).","Reparto, Producción, Dirección",9
Kevin Durand,1974,"X-Men orígenes: Lobezno (2009), Soy el número cuatro (2011) y Robin Hood (2010).","Reparto, Dirección, Guion",0
Hope Davis,1964,N/A,"Reparto, Banda sonora",4
James Rebhorn,1948,"Independence Day (1996), The Game (1997) y El talento de Mr.",Reparto,0
Karl Yune,1975,"Acero puro (2011), Anacondas: La cacería por la orquídea sangrienta (2004) y Speed Racer (2008).",Reparto,0
Olga Fonda,N/A,N/A,Reparto,0
John Gatins,1968,"El vuelo (Flight) (2012), Norbit (2007) y Acero puro (2011).","Reparto, Guion, Producción",1
Chris Evans,1981,"Los Vengadores (2012), Capitán América: El primer vengador (2011) y Capitán América: Civil War (2016).","Reparto, Producción, Dirección",8
Hugo Weaving,1960,"El señor de los anillos: El retorno del rey (2003), El señor de los anillos: La comunidad del anillo (2001) y El señor de los anillos: Las dos torres (2002).","Reparto, Producción, Banda sonora",36
Samuel L. Jackson,1948,"Pulp Fiction (1994), Los odiosos ocho (2015) y Serpientes en el avión (2006).","Reparto, Producción, Equipos adicionales",48
Hayley Atwell,1982,N/A,"Reparto, Banda sonora",0
Sebastian Stan,1982,"Capitán América: El Soldado de Invierno (2014), Vengadores: Endgame (2019) y Capitán América: Civil War (2016).","Reparto, Producción, Banda sonora",3
Tommy Lee Jones,1946,"Deuda de honor - The Homesman (2014), El fugitivo (1993) y No es país para viejos (2007).","Reparto, Dirección, Guion",44
Dominic Cooper,1978,"El doble del diablo (2011), Capitán América: El primer vengador (2011) y Mi semana con Marilyn (2011).","Reparto, Producción, Banda sonora",2
Richard Armitage,1971,"El hobbit: Un viaje inesperado (2012), El hobbit: La batalla de los cinco ejércitos (2014) y El hobbit: La desolación de Smaug (2013).","Reparto, Producción, Guion",6
Stanley Tucci,1960,"Big Night (1996), Spotlight (2015) y The Lovely Bones (2009).","Reparto, Producción, Guion",33
Toby Jones,1966,"El topo (2011), Blancanieves y la leyenda del cazador (2012) y Los juegos del hambre (2012).","Reparto, Guion, Producción",11
Alison MacInnis,1980,N/A,"Reparto, Cámara y electricidad, Guion",11
Frank Alvarez,N/A,"su papel en Siete psicópatas (2012), Venganza: Conexión Estambul (2012) y 24 (2001).",Reparto,11
Dennis Baesa,N/A,N/A,Reparto,11
Derek Barbosa,1974,"Ride (1998), Barrio Wars (2002) y Gang Warz (2004).","Reparto, Guion, Composición",11
Christina Buenaventura,N/A,N/A,Reparto,0
Armando Cantina,N/A,"su papel en xXx (2002), Vidas al límite (2005) y Platinum Illusions (2011).",Reparto,0
Mr. Capone-E,N/A,N/A,"Reparto, Composición, Producción",0
Rod Chaouqi,N/A,"su papel en Night Walk (2019), Platinum Illusions (2011) y *Karaganda*: Red Mafia.",Reparto,0
Shannon Marie Codner,N/A,N/A,"Reparto, Equipos adicionales",0
Elika Crespo,1976,N/A,Reparto,0
Jason Statham,1967,"Crank: Veneno en la sangre (2006), Fast & Furious 7 (2015) y Espías (2015).","Reparto, Producción, Especialistas",1
Ben Foster,1980,"Comanchería (2016), El tren de las 3:10 (2007) y El mensajero (2009).","Reparto, Producción, Dirección",8
Donald Sutherland,1935,"Los juegos del hambre: En llamas (2013), Pride & Prejudice (Orgullo y prejuicio) (2005) y Klute (1971).","Reparto, Producción, Guion",24
Tony Goldwyn,1960,"Ghost (Más allá del amor) (1990), El último samurái (2003) y The Mechanic (2011).","Reparto, Dirección, Guion",7
Jeff Chase,1968,"Plan de escape 3 (2019), Los domésticos (2018) y Star Trek: En la oscuridad (2013).","Reparto, Especialistas",0
Mini Anden,1978,N/A,"Reparto, Producción",0
James Logan,1970,"Undying (2024), Yo soy la venganza (2016) y K.","Especialistas, Reparto, Producción",0
Eddie J. Fernandez,N/A,"su papel en Infiltrados en la universidad (2014), Llamaradas (1991) y Crash (Colisión) (2004).","Especialistas, Reparto, Dirección de la segunda unidad o asistencia a dirección",2
Joshua Bridgewater,N/A,"su papel en The Mechanic (2011), Skateland (2010) y Smile Now Cry Later (2013).",Reparto,2
John McConnell,1958,"Hap and Leonard (2016), O Brother! (2000) y Abattoir (2016).","Reparto, Producción",2
Eddie Murphy,1961,"The Nutty Professor (El profesor chiflado) (1996), Superdetective en Hollywood (1984) y Dreamgirls (2006).","Reparto, Guion, Producción",45
Ben Stiller,1965,"Zoolander (Un descerebrado de moda) (2001), Tropic Thunder: ¡Una guerra muy perra! (2008) y Zoolander No.","Producción, Reparto, Dirección",18
Casey Affleck,1975,"Manchester frente al mar (2016), La luz de mi vida (2019) y A Ghost Story (2017).","Reparto, Dirección, Guion",71
Alan Alda,1936,"M*A*S*H (1972), Las cuatro estaciones (1981) y Delitos y faltas (1989).","Reparto, Equipos adicionales, Guion",44
Matthew Broderick,1962,"Los productores (2005), Juegos de guerra (1983) y Todo en un día (1986).","Reparto, Dirección, Producción",4
Stephen McKinley Henderson,1949,"Fences (2016), Civil War (2024) y Lady Bird (2017).",Reparto,3
Judd Hirsch,1935,"Los Fabelman (2022), Independence Day (1996) y Taxi (1978).","Reparto, Equipos adicionales, Producción",9
Téa Leoni,1966,N/A,"Reparto, Producción, Equipos adicionales",1
Michael Peña,1976,"La gran estafa americana (2013), Crash (Colisión) (2004) y Sin tregua (2012).","Reparto, Producción, Banda sonora",13
Gabourey Sidibe,1983,N/A,"Reparto, Dirección, Producción",28
Nicolas Cage,1964,"Cara a cara (Face/Off) (1997), Leaving Las Vegas (1995) y La Roca (1996).","Reparto, Producción, Dirección",66
