actor,anio_nacimiento,conocido_por,que_hace,premios
Conrad Janis,1928,"Un loco a domicilio (1996), Aeropuerto 1975 (1974) y La duquesa y el truhán (1976).","Reparto, Dirección, Producción",11
Bret Anthony,1972,"The Capture of the Green River Killer (2008), Shade: Juego de asesinos (2003) y Bad Blood (2012).",Reparto,11
Cori Bright,N/A,N/A,"Reparto, Producción",11
Ashley Gorrell,1985,N/A,Reparto,0
Charles Hittinger,1983,"Sharknado (2013), American Pie: El reencuentro (2012) y Dinner Party (2021).","Reparto, Guion",2
David Thomas Jenkins,N/A,"su papel en She (2019), Kissing Strangers (2010) y La leyenda de la tumba del dragón (2013).","Reparto, Producción, Guion",2
Sofia Karstens,1976,N/A,"Reparto, Producción, Banda sonora",1
Jilon VanOver,1978,"Better Call Saul (2015), Hatfields & McCoys (2012) y Murder Company (2024).","Reparto, Dirección, Producción",0
Steven Christopher Parker,1989,"Juno (2007), Man in the Chair (2007) y Rebote (2005).","Reparto, Guion, Producción",1
Riley Keough,1989,N/A,"Reparto, Producción, Dirección",14
Juno Temple,1989,N/A,"Reparto, Banda sonora",9
Kylie Minogue,1968,N/A,"Music Artist, Reparto, Composición",17
Jackson Ning,N/A,"su papel en Salvando las apariencias (2004), The Girl Is in Trouble (2015) y Falling Awake (2009).",Reparto,17
Samantha Ives,N/A,N/A,"Reparto, Equipos adicionales, Edición",0
Anika Jennie Ji,N/A,N/A,Reparto,0
Michael Chernus,1977,"Separación (2022), Spider-Man: Homecoming (2017) y Patriota (2015).",Reparto,2
Thysson George Williams,N/A,N/A,"Reparto, Producción",2
Rock Kohli,N/A,"su papel en Inside Amy Schumer (2013), The Blacklist (2013) y Blue Bloods (2010).",Reparto,1
Neal Huff,N/A,"Spotlight (2015), Moonrise Kingdom (2012) y Vanishing on 7th Street (2010).","Reparto, Banda sonora",5
Adelaide Clemens,1989,N/A,"Reparto, Banda sonora",0
Kit Harington,1986,"Juego de tronos (2011), Pompeya (2014) y Silent Hill: Revelación 3D (2012).","Reparto, Guion, Producción",6
Sean Bean,1959,"El señor de los anillos: La comunidad del anillo (2001), Juego de tronos (2011) y Black Death (Garra negra) (2010).","Reparto, Producción, Animación",19
Carrie-Anne Moss,1967,N/A,"Reparto, Producción",5
Radha Mitchell,1973,N/A,"Reparto, Producción, Dirección",32
Malcolm McDowell,1943,"La naranja mecánica (1971), Star Trek: La próxima generación (1994) y Los pasajeros del tiempo (1979).","Reparto, Producción, Guion",18
Martin Donovan,N/A,"The Apprentice (2024), Big Little Lies (2017) y Tenet (2020).","Reparto, Dirección, Guion",4
Deborah Kara Unger,1966,N/A,"Reparto, Producción, Equipos adicionales",8
Roberto Campanella,1968,"Colonia V (2013), Silent Hill (2006) y La forma del agua (2017).","Equipos adicionales, Reparto, Dirección",0
Erin Pitt,1999,N/A,"Reparto, Dirección",0
Ali Suliman,1977,"La sombra del reino (2007), Red de mentiras (2008) y El único superviviente (2013).","Reparto, Producción",7
Reymonde Amsellem,1978,N/A,"Reparto, Guion",4
Evgenia Dodina,1964,N/A,"Reparto, Banda sonora",2
Dvir Benedek,1969,"Barash (2015), Golda (2023) y A Matter of Size (2009).","Reparto, Guion, Banda sonora",1
Uri Gavriel,1955,"El caballero oscuro: La leyenda renace (2012), Byzantium (2012) y Shavua ve Yom (2016).",Reparto,3
Ruba Salameh,N/A,"su papel en Bar Bahar: Entre dos mundos (2016), Asuntos de familia (2016) y Between Heaven and Earth (2019).","Arte, Reparto, Dirección de arte",3
Karim Saleh,1978,"Transparent (2014), Counterpart (2017) y Múnich (2005).","Reparto, Dirección, Dirección de fotografía y cámara",3
Nisrin Siksik,N/A,N/A,Reparto,3
Bassem Lulu,N/A,su papel en El atentado (2012).,Reparto,3
Ezra Dagan,N/A,"su papel en La lista de Schindler (1993), Ha'Mishlahat (2023) y America 3000 (1986).",Reparto,1
Shashi Balooja,N/A,"su papel en Exposed (2012), Ariana (2004) y Heaven (2014).","Reparto, Producción, Guion",3
Michelle Glick,N/A,N/A,"Reparto, Producción, Equipos adicionales",3
Josh Heine,N/A,"su papel en The Further Adventures of Cupid and Eros (2010), The Further Adventures of Cupid and Eros (2010) y The Silver Lake Badminton and Adventurers Club (2011).","Reparto, Equipos adicionales",0
Gregory Wooddell,N/A,N/A,Dirección de arte,0
Opal Alladin,N/A,N/A,Reparto,0
Will Janowitz,1980,"Bang Bang (2024), Bikini Moon (2017) y Los Soprano (1999).","Reparto, Guion, Producción",0
Tom Wiggin,1955,"From the Bloomsbury Group to the Lowcountry: The Charleston Literary Festival (2023), World Class y The Guiding Light (1952).","Reparto, Producción, Dirección",0
Charlotte Maier,N/A,N/A,Reparto,0
Irene Alexandra,N/A,N/A,Reparto,0
Jason Bond,N/A,"su papel en Submerged (2016), Babysitter (2015) y Replicant Terminus: Revelation (2021).","Reparto, Producción, Dirección",0
Jeffrey Dean Morgan,1966,"Watchmen (2009), Proyecto Rampage (2018) y The Walking Dead (2010).","Reparto, Producción, Banda sonora",6
Josie Ho,1974,N/A,"Reparto, Producción, Equipos adicionales",4
Til Schweiger,1963,"Malditos bastardos (2009), Llamando a las puertas (1997) y Un conejo sin orejas (2007).","Reparto, Producción, Dirección",31
Miguel Ferrer,1955,"Traffic (2000), Crossing Jordan (2001) y RoboCop (1987).","Reparto, Dirección, Dirección de fotografía y cámara",4
Lili Taylor,1967,N/A,"Reparto, Guion, Producción",23
