actor,anio_nacimiento,conocido_por,que_hace,premios
James Hart,1947,"August Rush (El triunfo de un sueño) (2007), Los Teleñecos en La isla del tesoro (1996) y Drácula de Bram Stoker (1992).","Guion, Producción, Equipos adicionales",2
Roselyn Sanchez,1973,N/A,"Reparto, Producción, Guion",1
Denyse Tontz,1994,N/A,Reparto,1
Scout Alter,N/A,N/A,"Equipos adicionales, Reparto",1
Frank Bruynbroek,1957,"Killers (2010), Robin Hood (2010) y Godzilla (1998).","Reparto, Equipos adicionales",1
Roger Lim,1968,"AmerAsian (2009), Young American Dream (2013) y Young Again (2025).","Reparto, Producción, Dirección",1
Evlin Lake,N/A,N/A,"Especialistas, Reparto, Producción",1
Bobby Dodge,1966,"El Triángulo de las Bermudas (2005), Último aviso (2007) y X's & O's (2007).","Reparto, Especialistas, Equipos adicionales",0
Shannon Gayle Hurd,1982,N/A,Reparto,0
Drew Plummer,1978,"AmerAsian (2009), Not So Young (2013) y Only Sighing (2011).",Reparto,0
Jason Lombard,N/A,"su papel en Monstruoso (2008), Un abuelo para Navidad (2007) y AmerAsian (2009).",Reparto,0
Akiko Shima,N/A,N/A,"Reparto, Equipos adicionales, Producción",4
Melinda Lee,N/A,N/A,Reparto,4
Kristin Pesceone,N/A,N/A,Reparto,4
Tracy Miller,N/A,N/A,"Reparto, Banda sonora",0
Matthew Del Negro,1972,"City on a Hill (2019), Scandal (2012) y Los Soprano (1999).","Reparto, Producción, Dirección",0
Yan England,N/A,"su papel en Rematch, The Oscars (2013) y Sam (2021).","Reparto, Dirección, Guion",12
Tim Kubart,1984,"Bully (2006), Ley y orden: Unidad de Víctimas Especiales (1999) y Haute & Bothered (2009).","Reparto, Guion, Equipos adicionales",1
Sabin Lomac,N/A,"su papel en Side Order of Life (2007), The Conquest of America (2005) y Shooting Chris (2013).","Reparto, Producción",1
Justin Okin,N/A,"su papel en Loaf of Bread (2009), Why George? (2009) y Hughes the Force (2011).","Reparto, Producción, Equipos adicionales",1
Laurie Okin,1971,N/A,"Reparto, Producción",1
Joel Rooks,N/A,N/A,"Reparto, Equipos adicionales",1
Louise Scotti,1972,N/A,Reparto,0
Leia Thompson,N/A,N/A,"Reparto, Producción, Arte",0
Shari Umansky,N/A,N/A,"Guion, Reparto, Producción",0
Arshad Warsi,1968,Munna Bhai M.,"Reparto, Guion, Dirección de la segunda unidad o asistencia a dirección",20
Aashish Chaudhary,1978,"Qayamat: City Under Threat (2003), Kabhi Bhi Kahin Bhi y Kisse Pyaar Karoon? (2009).",Reparto,0
Yash Tonk,N/A,N/A,Reparto,0
Udita Goswami,1984,N/A,Reparto,0
Aarti Chhabria,1982,N/A,"Reparto, Dirección, Producción",0
Shweta Menon,1974,N/A,"Reparto, Música, Banda sonora",5
Ashish Vidyarthi,1962,"Haider (2014), 24 (2013) y Droh Kaal (1994).","Reparto, Equipos adicionales",6
Shakti Kapoor,1952,"Andaz Apna Apna (1994), Gunda (1998) y Animal (2023).","Reparto, Música, Banda sonora",1
Vindu Dara Singh,1964,"Karma (2004), Ssshhhh.",Reparto,1
Adi Irani,1955,"Baazigar (1993), Raqt (2013) y Baadshah (1999).","Reparto, Dirección, Guion",1
Kipleigh Brown,1975,N/A,"Reparto, Guion",4
Chase Masterson,N/A,N/A,"Reparto, Producción, Guion",2
John Newton,1948,N/A,"Music Artist, Reparto, Música",21
Mik Scriba,1947,"Negociador (1998), Conspiración (1997) y Wild Wild West (1999).","Reparto, Producción",21
Nathan Mobley,N/A,"su papel en Gold (2008), Yesterday Was a Lie (2009) y Yesterday Was a Lie (2010).",Reparto,0
Warren Davis,N/A,N/A,"Reparto, Dirección, Edición",1
Megan Henning,1978,N/A,Reparto,1
Jennifer Slimko,1974,N/A,Reparto,0
Robert Siegel,1971,"Bienvenidos a Chippendales (2022), Pam & Tommy (2022) y Big Fan (2009).","Guion, Dirección, Producción",3
Peter Mayhew,1944,"Star Wars: El despertar de la Fuerza (2015), El imperio contraataca (1980) y La guerra de las galaxias (1977).","Reparto, Producción, Equipos adicionales",0
Zoltán Mucsi,1957,"El topo (2011), 1 (2009) y Kontroll (2003).",Reparto,3
László Sinkó,N/A,N/A,Reparto,0
Pál Mácsai,N/A,N/A,Reparto,2
Vica Kerekes,1981,N/A,Reparto,3
Balázs Czukor,N/A,N/A,Reparto,0
Zoltán Balázs,N/A,N/A,Reparto,0
Máté Haumann,1980,"Oppenheimer (2023), Jack Ryan (2018) y Colette (2018).","Reparto, Guion, Efectos visuales",0
Krzysztof Rogacewicz,N/A,N/A,Reparto,0
Zoltán Berzsenyi,N/A,N/A,Reparto,0
Krisztina Bíró,N/A,N/A,Reparto,0
Éva Gábor,1919,N/A,"Reparto, Banda sonora",1
István Znamenák,1966,"Az állampolgár (2016), Taxidermia (2006) y Una vida regalada (Aranyelet) (2015).","Reparto, Dirección, Dirección de fotografía y cámara",1
Ákos Horváth,1968,"Kontroll (2003), Haunting Trophies (2024) y A Pásztor (2019).","Reparto, Guion",3
Lia Pokorny,1971,N/A,Reparto,3
Izabella Hegyi,N/A,N/A,Reparto,3
Szabolcs Thuróczy,1971,"Matones sobre ruedas (2016), Sandwich (2017) y White God (2014).","Reparto, Guion",3
Ági Margitai,1937,N/A,Reparto,0
Eszter Márton,N/A,N/A,"Guion, Reparto",0
Lóránt Matta,N/A,N/A,Reparto,0
Róbert Kardos,N/A,N/A,"Reparto, Dirección, Guion",1
