actor,anio_nacimiento,conocido_por,que_hace,premios
John Trudell,1946,"Señales de humo (1998), Corazón trueno (1992) y En tierra peligrosa (1994).","Reparto, Composición, Música",1
Rodney A. Grant,1959,"Bailando con lobos (1990), Fantasmas de Marte de John Carpenter (2001) y Wild Wild West (1999).","Reparto, Producción",2
George Aguilar,1952,"Star Trek: La nueva generación (1987), VTC (2021) y Phoenix (1998).","Reparto, Equipos adicionales",2
Aric Cushing,1973,"There's No Such Thing as Vampires (2020), The Yellow Wallpaper (2012) y Hotel Cæsar (1998).","Reparto, Producción, Guion",8
Juliet Landau,1965,N/A,"Reparto, Producción, Dirección",12
Dale Dickey,1961,N/A,"Reparto, Banda sonora",9
Veronica Cartwright,1949,N/A,"Reparto, Banda sonora",4
Michael Moriarty,1941,"En honor a la verdad (1996), Ley y orden (1990) y El jinete pálido (1985).","Reparto, Guion, Música",6
Raymond J. Barry,1939,"Esto (no) es un secuestro (1994), Dewey Cox: Una vida larga y dura (2007) y Recién casados (2003).",Reparto,2
Jessi Case,N/A,N/A,"Reparto, Guion, Producción",2
Gena Kay,N/A,N/A,"Reparto, Producción, Equipos adicionales",2
Joe Williamson,N/A,"Encerrado con el diablo (2022), Le Mans '66 (2019) y Here and Now (2018).","Reparto, Producción",2
Keller Wortham,N/A,N/A,Reparto,2
Jamie Foreman,1958,"Layer Cake: Crimen organizado (2004), Oliver Twist (2005) y Corazón de tinta (2008).","Reparto, Guion, Producción",0
Danny John-Jules,1960,"Blade II (2002), Lock & Stock (1998) y La tienda de los horrores (1986).","Reparto, Producción, Guion",0
Zoë Tapper,1981,N/A,"Reparto, Guion, Producción",0
Gordon Alexander,N/A,"su papel en Gangs of London (2020), Sin tiempo para morir (2021) y Jack Reacher: Nunca vuelvas atrás (2016).","Reparto, Especialistas, Dirección",2
Kellie Shirley,1981,N/A,"Reparto, Guion, Producción",2
Freddie Connor,N/A,"su papel en Heather's Painting (2017), Baseline (2010) y Luna Park (2015).","Producción, Reparto, Guion",45
Duncan Watkinson,N/A,N/A,Reparto,0
Joan Hodges,N/A,N/A,Reparto,0
Jay Brown,1964,"Bright (2017), Ray Donovan (2013) y Westworld (2016).","Reparto, Producción, Dirección",0
Barber Ali,N/A,"su papel en Negocios ocultos (2002), Redes (2004) y Witless (2016).",Reparto,0
Billy Burke,1966,"Crepúsculo (2008), Furia ciega (2011) y La saga Crepúsculo: Eclipse (2010).","Reparto, Producción, Guion",0
Christian Slater,1969,"Amor a quemarropa (1993), Very Bad Things (1998) y Robin Hood: Príncipe de los ladrones (1991).","Reparto, Producción, Dirección",8
Crispin Glover,N/A,"What Is It? (2005), Willard (2003) y Instinto sádico (1986).","Reparto, Dirección, Guion",3
Michael Jai White,1967,"Dinamita negra (2009), Spawn (1997) y El caballero oscuro (2008).","Reparto, Guion, Producción",0
Roger Bart,1962,Los productores (2005) y American Gangster (2007).,"Reparto, Banda sonora",2
Breanne Racano Ferrara,1988,N/A,"Reparto, Producción",2
Sabina Gadecki,1983,N/A,Reparto,2
Andy Dick,1965,"Road Trip (Viaje de pirados) (2000), Reality bites (Bocados de realidad) (1994) y El empleado del mes (2006).","Reparto, Guion, Producción",1
Gloria Hendry,1949,N/A,"Reparto, Producción",1
Page Kennedy,1976,S.,"Reparto, Composición, Banda sonora",4
Jennifer Tilly,1958,N/A,"Reparto, Guion, Banda sonora",12
Maria Conchita Alonso,1957,N/A,"Reparto, Producción, Composición",7
Tippi Hedren,1930,N/A,"Reparto, Producción",11
Debi Mazar,1964,N/A,"Reparto, Maquillaje, Producción",0
Ione Skye,1970,N/A,"Reparto, Guion, Dirección",0
