actor,anio_nacimiento,conocido_por,que_hace,premios
Sabra Williams,N/A,N/A,"Reparto, Guion, Dirección",0
Juliet Grainger,N/A,N/A,"Reparto, Producción",0
Josh Lucas,1971,"Le Mans '66 (2019), Sweet Home Alabama (2002) y Camino a la gloria (2006).","Reparto, Producción, Dirección de fotografía y cámara",4
Rachael Taylor,1984,N/A,"Reparto, Guion, Producción",0
Rohan Nichol,1976,"Star Wars: Episodio III - La venganza de los sith (2005), Red Dog (2011) y Como locos.","Reparto, Composición",0
Luke Ford,1981,"La momia: La tumba del emperador Dragón (2008), Animal Kingdom (2010) y The Black Balloon (2008).",Reparto,4
Arthur Angel,N/A,"su papel en Red Dog (2011), Ghost Rider: El motorista fantasma (2007) y Upgrade (Ilimitado) (2018).","Reparto, Guion, Producción",4
John Batchelor,N/A,"su papel en Red Dog (2011), Underbelly (2008) y Man Thing (La naturaleza del miedo) (2005).","Reparto, Banda sonora",0
Koko,N/A,N/A,Reparto,0
Keisha Castle-Hughes,1990,N/A,"Reparto, Producción, Dirección de arte",10
Noah Taylor,1969,"Casi famosos (2000), Life Aquatic (2004) y Shine (1996).","Reparto, Guion y continuidad, Banda sonora",6
Loene Carmen,1970,N/A,"Reparto, Composición, Música",0
Michael Greco,1969,"Gente de barrio (1985), Los juegos del hambre: Balada de pájaros cantores y serpientes (2023) y Chasing Shadows (2014).",Reparto,2
Steven Berkoff,1937,"Octopussy (1983), La naranja mecánica (1971) y Superdetective en Hollywood (1984).","Reparto, Guion, Dirección",9
Jake Maskall,1971,"Centurión (2010), Gente de barrio (1985) y Skins (2007).","Reparto, Producción",9
Meredith Ostrom,1977,N/A,"Reparto, Producción",9
Gabrielle Jourdan,N/A,N/A,Reparto,9
Mark Rathbone,N/A,"su papel en The Gentlemen: Los señores de la mafia (2019), Australia (2008) y Sye Raa Narasimha Reddy (2019).","Reparto, Equipos adicionales",9
Nick Townsend,N/A,N/A,N/A,0
Mark Wilson,N/A,N/A,Reparto,1
Duncan Bannatyne,1949,"Moving Target (2011), School for Seduction (2004) y Al Murray's Multiple Personality Disorder (2009).",Reparto,1
Suzannah Gardner,N/A,N/A,Reparto,1
Carmen Maura,1945,N/A,"Reparto, Banda sonora",45
Julie Durand,N/A,N/A,Reparto,2
Renaud Cestre,N/A,N/A,Reparto,2
Thomas Sagols,1985,"Une femme dans la Révolution (2013), Tombé d'une étoile (2007) y Bright Minds (2019).",Reparto,0
Mathieu Simonet,1975,"Days of Glory (2006), La bande du drugstore (2002) y Le Temps d'Anna (2016).","Reparto, Producción, Dirección",0
François Berléand,1952,"Transporter (2002), Los chicos del coro (2004) y Transporter 3 (2008).","Reparto, Composición, Edición",2
Sam Riley,1980,"Control (2007), Maléfica (2014) y Orgullo + Prejuicio + Zombis (2016).","Reparto, Banda sonora",7
Garrett Hedlund,1984,"Tron: Legacy (2010), Mudbound (2017) y En el camino (2012).","Reparto, Producción, Banda sonora",4
Kristen Stewart,1990,N/A,"Reparto, Producción, Dirección",92
Amy Adams,1974,N/A,"Reparto, Producción, Equipo ejecutivo",77
Tom Sturridge,1985,"En el camino (2012), Lejos del mundanal ruido (2015) y Radio encubierta (2009).","Reparto, Dirección",0
Alice Braga,1983,N/A,"Reparto, Producción, Dirección",16
Elisabeth Moss,1982,N/A,"Reparto, Producción, Dirección",40
Danny Morgan,1983,"En el camino (2012), Wonder Woman 1984 (2020) y Double Date (2017).","Reparto, Guion, Dirección",40
Kirsten Dunst,1982,N/A,"Reparto, Producción, Dirección",51
Viggo Mortensen,1958,"El señor de los anillos: El retorno del rey (2003), Captain Fantastic (2016) y El señor de los anillos: Las dos torres (2002).","Reparto, Producción, Dirección",44
Federico Luppi,1934,"Cronos (1992), El espinazo del diablo (2001) y El laberinto del fauno (2006).","Reparto, Dirección",22
Ana Fernández,1963,N/A,"Reparto, Equipos adicionales",12
Matías Desiderio,N/A,"su papel en Car 24 (2023), Lalola (2007) y Ivanka: If We Ever Meet Again (2013).","Reparto, Producción, Dirección",0
Gabriel Corrado,1960,"Máximo Corazón (2002), Amándote (1988) y La extraña dama (1989).","Reparto, Guion, Producción",0
Gustavo Garzón,1955,"Por un tiempo (2013), El fondo del mar (2003) y Cielo raso (2009).","Reparto, Guion, Producción",3
Esther Goris,1963,N/A,"Reparto, Guion, Dirección",1
Susana Hornos,N/A,N/A,"Reparto, Producción, Guion",2
Nicolás Condito,1991,"Orillas (2011), Los pibes del puente (2011) y Suspiros del corazón (2006).","Reparto, Banda sonora",2
Ricardo Galli,N/A,N/A,"Reparto, Dirección de producción",2
Melisa Goddio,N/A,N/A,Reparto,2
Giselle Itié,1982,N/A,"Reparto, Dirección",2
Eduardo Paxeco,1982,"La buena vida (2008), Ilusiones Ópticas (2009) y Caleuche: El llamado del Mar (2012).","Reparto, Dirección de casting, Casting",1
Catalina Saavedra,1968,N/A,Reparto,20
Marcelo Alonso,1969,"El Club (2015), Hijos del Desierto (2022) y La Poseída (2015).","Reparto, Banda sonora",0
Juan Pablo Miranda,1980,"Gatas & Tuercas (2005), Puzzle Negro (2015) y Machuca (2004).",Reparto,0
