actor,anio_nacimiento,conocido_por,que_hace,premios
Mike Bash,N/A,"Shameless (2011), Julia (2022) y The Orville (2017).","Reparto, Producción, Guion",0
Sam Bilinkas,N/A,N/A,"Reparto, Especialistas",0
Jim Bonney,N/A,N/A,Composición,0
Johnny Depp,1963,"Piratas del Caribe: La maldición de la Perla Negra (2003), Sweeney Todd: El barbero diabólico de la calle Fleet (2007) y Piratas del Caribe: En el fin del mundo (2007).","Reparto, Producción, Dirección",81
Giovanni Ribisi,1974,"El informador (2000), Sky Captain y el mundo del mañana (2004) y Avatar (2009).","Reparto, Producción, Dirección de fotografía y cámara",3
Aaron Eckhart,1968,"El caballero oscuro (2008), Gracias por fumar (2005) y Los secretos del corazón (2010).","Reparto, Producción, Banda sonora",8
Michael Rispoli,1960,"Los diarios del ron (2011), Kick-Ass: Listo para machacar (2010) y Mientras dormías (1995).","Reparto, Guion, Producción",2
Amber Heard,1986,N/A,"Reparto, Producción, Equipos adicionales",4
Richard Jenkins,1947,"La forma del agua (2017), The visitor (2007) y Hermanos por pelotas (2008).","Reparto, Producción, Banda sonora",16
Amaury Nolasco,N/A,"Prison Break (2005), Transformers (2007) y La jungla: Un buen día para morir (2013).","Reparto, Producción",0
Marshall Bell,1942,"Starship Troopers (Las brigadas del espacio) (1997), Desafío total (1990) y Cosas que hacer en Denver cuando estás muerto (1995).",Reparto,0
Bill Smitrovich,N/A,N/A,"Reparto, Dirección, Producción",0
Julian Holloway,1944,"Carry on Up the Khyber (1968), Los diarios del ron (2011) y Contrólese, excursionista (1969).","Reparto, Producción, Guion",0
Kim Sønderholm,1973,N/A,"Reparto, Guion, Producción",16
Andrea Vagn Jensen,1965,N/A,"Reparto, Banda sonora",0
Ole Thestrup,1948,"Luces parpadeantes (2000), Las manzanas de Adam (2005) y Ronal Barbaren (2011).","Reparto, Equipos adicionales",0
Mads Koudal,1977,"Tonser (2022), Between a Rock and a Hard Place (2019) y Affald (2023).","Reparto, Guion, Dirección",22
Mick Øgendahl,1973,"Tomgang (2013), Blå mænd (2008) y Minkavlerne (2019).","Reparto, Guion, Dirección",1
Troels II Munk,N/A,N/A,"Reparto, Dirección",0
Anne-Marie Streibig,N/A,N/A,Reparto,0
Niels Lund Boesen,N/A,N/A,Reparto,0
Helene Høm Kristiansen,N/A,N/A,Reparto,0
Katja Larsen,N/A,N/A,"Reparto, Equipos adicionales",0
